2.255 2 BARO_RAW 0. 0.
3.258 2 IMU_MAG_RAW -220 -546 139
3.262 2 IMU_GYRO_RAW -124 -31 -182
3.265 2 IMU_ACCEL_RAW 113 2010 21
3.303 2 IMU_MAG_RAW -220 -546 139
3.306 2 IMU_GYRO_RAW -167 340 -293
3.309 2 IMU_ACCEL_RAW -29 2093 -11
3.354 2 DL_VALUE 2 660.
3.357 2 IMU_MAG_RAW -220 -546 139
3.360 2 IMU_GYRO_RAW -199 257 -411
3.363 2 IMU_ACCEL_RAW -119 2132 -74
3.403 2 IMU_MAG_RAW -220 -546 139
3.406 2 IMU_GYRO_RAW -155 -135 -396
3.409 2 IMU_ACCEL_RAW -152 1984 -68
3.453 2 IMU_MAG_RAW -220 -546 139
3.456 2 IMU_GYRO_RAW -104 -412 -346
3.459 2 IMU_ACCEL_RAW -154 2002 -41
3.503 2 IMU_MAG_RAW -220 -546 139
3.506 2 IMU_GYRO_RAW -74 -228 -312
3.509 2 IMU_ACCEL_RAW -394 1998 -29
3.553 2 IMU_MAG_RAW -220 -546 139
3.556 2 IMU_GYRO_RAW -104 216 -287
3.560 2 IMU_ACCEL_RAW -556 2131 -97
3.603 2 IMU_MAG_RAW -220 -546 139
3.606 2 IMU_GYRO_RAW -109 571 -268
3.610 2 IMU_ACCEL_RAW -580 2200 -157
3.653 2 IMU_MAG_RAW -220 -546 139
3.656 2 IMU_GYRO_RAW -38 534 -233
3.660 2 IMU_ACCEL_RAW -600 2097 -255
3.703 2 IMU_MAG_RAW -220 -546 139
3.707 2 IMU_GYRO_RAW 51 126 -129
3.710 2 IMU_ACCEL_RAW -585 2023 -201
3.756 2 BARO_RAW 0. 0.
3.759 2 IMU_MAG_RAW -220 -546 139
3.762 2 IMU_GYRO_RAW 117 -219 -32
3.764 2 IMU_ACCEL_RAW -571 2002 -144
3.803 2 IMU_MAG_RAW -220 -546 139
3.807 2 IMU_GYRO_RAW 106 -295 31
3.810 2 IMU_ACCEL_RAW -386 2066 -79
3.818 2 DOWNLINK_STATUS 0 4 4596 260 0 1145. 65. 0.
3.854 2 DL_VALUE 3 0.
3.857 2 IMU_MAG_RAW -220 -546 139
3.860 2 IMU_GYRO_RAW 83 -173 -33
3.863 2 IMU_ACCEL_RAW -202 2132 -121
3.880 2 ACTUATORS |1000,1500,2000,1668,1668,1500|
3.903 2 IMU_MAG_RAW -220 -546 139
3.906 2 IMU_GYRO_RAW 52 42 -209
3.909 2 IMU_ACCEL_RAW -318 1987 -97
3.954 2 IMU_MAG_RAW -220 -546 139
3.957 2 IMU_GYRO_RAW 20 128 -258
3.960 2 IMU_ACCEL_RAW -214 2226 -9
3.978 2 COMMANDS |0,-4052,-9600,0,0,0|
4.003 2 IMU_MAG_RAW -220 -546 139
4.006 2 IMU_GYRO_RAW 93 20 -349
4.009 2 IMU_ACCEL_RAW -279 2052 60
4.059 2 ALIVE |215,59,16,148,212,187,92,254,242,168,16,68,167,171,91,170|
4.061 2 IMU_MAG_RAW -220 -546 139
4.065 2 IMU_GYRO_RAW 193 -235 -150
4.068 2 IMU_ACCEL_RAW -288 2170 -6
4.103 2 IMU_MAG_RAW -220 -546 139
4.106 2 IMU_GYRO_RAW 279 -563 -51
4.109 2 IMU_ACCEL_RAW -379 2094 21
4.152 2 IMU_MAG_RAW -220 -546 139
4.155 2 IMU_GYRO_RAW 293 -712 95
4.159 2 IMU_ACCEL_RAW -262 2158 -7
4.203 2 IMU_MAG_RAW -220 -546 139
4.206 2 IMU_GYRO_RAW 183 -555 179
4.209 2 IMU_ACCEL_RAW -275 2011 10
4.255 2 BARO_RAW 0. 0.
4.258 2 IMU_MAG_RAW -220 -546 139
4.261 2 IMU_GYRO_RAW 52 -177 258
4.264 2 IMU_ACCEL_RAW -158 2063 -75
4.303 2 IMU_MAG_RAW -220 -546 139
4.306 2 IMU_GYRO_RAW -122 304 186
4.309 2 IMU_ACCEL_RAW -132 2028 -125
4.354 2 DL_VALUE 4 0.
4.357 2 IMU_MAG_RAW -220 -546 139
4.360 2 IMU_GYRO_RAW -195 516 51
4.363 2 IMU_ACCEL_RAW -18 1976 -173
4.403 2 IMU_MAG_RAW -220 -546 139
4.406 2 IMU_GYRO_RAW -259 471 -49
4.409 2 IMU_ACCEL_RAW -15 1953 -167
4.453 2 IMU_MAG_RAW -220 -546 139
4.456 2 IMU_GYRO_RAW -191 188 -151
4.459 2 IMU_ACCEL_RAW -90 1944 -229
4.503 2 IMU_MAG_RAW -220 -546 139
4.506 2 IMU_GYRO_RAW -125 -282 -196
4.509 2 IMU_ACCEL_RAW -147 1898 -177
4.553 2 IMU_MAG_RAW -220 -546 139
4.556 2 IMU_GYRO_RAW -100 -596 -156
4.559 2 IMU_ACCEL_RAW -150 1929 -106
4.603 2 IMU_MAG_RAW -220 -546 139
4.606 2 IMU_GYRO_RAW -116 -527 -119
4.609 2 IMU_ACCEL_RAW -225 1941 -43
4.653 2 IMU_MAG_RAW -220 -546 139
4.656 2 IMU_GYRO_RAW -174 -344 -74
4.659 2 IMU_ACCEL_RAW -246 2081 -25
4.703 2 IMU_MAG_RAW -220 -546 139
4.706 2 IMU_GYRO_RAW -249 -72 -91
4.709 2 IMU_ACCEL_RAW -298 2131 0
4.755 2 BARO_RAW 0. 0.
4.758 2 IMU_MAG_RAW -220 -546 139
4.762 2 IMU_GYRO_RAW -289 222 -92
4.765 2 IMU_ACCEL_RAW -276 2148 73
4.803 2 IMU_MAG_RAW -220 -546 139
4.806 2 IMU_GYRO_RAW -287 430 -68
4.809 2 IMU_ACCEL_RAW -314 2095 137
4.818 2 DOWNLINK_STATUS 0 5 5787 327 0 1191. 67. 0.
4.854 2 DL_VALUE 5 0.
4.857 2 IMU_MAG_RAW -220 -546 139
4.860 2 IMU_GYRO_RAW -184 552 -35
4.864 2 IMU_ACCEL_RAW -344 2070 118
4.903 2 IMU_MAG_RAW -220 -546 139
4.906 2 IMU_GYRO_RAW -92 375 -28
4.910 2 IMU_ACCEL_RAW -425 1983 102
4.953 2 IMU_MAG_RAW -220 -546 139
4.956 2 IMU_GYRO_RAW 42 -74 -19
4.959 2 IMU_ACCEL_RAW -451 2077 28
5.003 2 IMU_MAG_RAW -220 -546 139
5.006 2 IMU_GYRO_RAW 76 -378 -80
5.010 2 IMU_ACCEL_RAW -393 1983 81
5.052 2 IMU_MAG_RAW -220 -546 139
5.055 2 IMU_GYRO_RAW 81 -304 -70
5.059 2 IMU_ACCEL_RAW -303 1969 86
5.077 2 FBW_STATUS 2 0 1 166 0
5.103 2 IMU_MAG_RAW -220 -546 139
5.107 2 IMU_GYRO_RAW -24 31 -117
5.110 2 IMU_ACCEL_RAW -332 2027 -2
5.153 2 IMU_MAG_RAW -220 -546 139
5.155 2 IMU_GYRO_RAW -98 129 -60
5.159 2 IMU_ACCEL_RAW -365 2107 -19
5.203 2 IMU_MAG_RAW -220 -546 139
5.207 2 IMU_GYRO_RAW -122 20 -72
5.209 2 IMU_ACCEL_RAW -369 2098 37
5.255 2 BARO_RAW 0. 0.
5.258 2 IMU_MAG_RAW -220 -546 139
5.261 2 IMU_GYRO_RAW -60 -190 -51
5.264 2 IMU_ACCEL_RAW -366 2092 75
5.303 2 IMU_MAG_RAW -220 -546 139
5.306 2 IMU_GYRO_RAW -70 -493 0
5.309 2 IMU_ACCEL_RAW -362 2106 107
5.354 2 DL_VALUE 6 100.
5.357 2 IMU_MAG_RAW -220 -546 139
5.360 2 IMU_GYRO_RAW -80 -748 60
5.363 2 IMU_ACCEL_RAW -380 2063 134
5.369 2 PONG 
5.402 2 IMU_MAG_RAW -220 -546 139
5.406 2 IMU_GYRO_RAW -90 -843 55
5.409 2 IMU_ACCEL_RAW -358 2041 220
5.453 2 IMU_MAG_RAW -220 -546 139
5.456 2 IMU_GYRO_RAW -63 -751 47
5.459 2 IMU_ACCEL_RAW -331 2019 285
5.503 2 IMU_MAG_RAW -220 -546 139
5.506 2 IMU_GYRO_RAW -49 -511 -16
5.509 2 IMU_ACCEL_RAW -354 2043 261
5.553 2 IMU_MAG_RAW -220 -546 139
5.556 2 IMU_GYRO_RAW -1 -361 -43
5.559 2 IMU_ACCEL_RAW -348 2024 274
5.603 2 IMU_MAG_RAW -220 -546 139
5.606 2 IMU_GYRO_RAW 56 -296 -57
5.609 2 IMU_ACCEL_RAW -352 1989 235
5.653 2 IMU_MAG_RAW -220 -546 139
5.656 2 IMU_GYRO_RAW 140 -365 -44
5.659 2 IMU_ACCEL_RAW -378 1990 170
5.703 2 IMU_MAG_RAW -220 -546 139
5.706 2 IMU_GYRO_RAW 197 -502 -70
5.709 2 IMU_ACCEL_RAW -374 2000 118
5.755 2 BARO_RAW 0. 0.
5.758 2 IMU_MAG_RAW -220 -546 139
5.761 2 IMU_GYRO_RAW 230 -554 -124
5.765 2 IMU_ACCEL_RAW -348 1983 94
5.803 2 IMU_MAG_RAW -220 -546 139
5.807 2 IMU_GYRO_RAW 197 -492 -179
5.809 2 IMU_ACCEL_RAW -331 1957 50
5.818 2 DOWNLINK_STATUS 0 6 6938 393 0 1151. 66. 53.71
5.854 2 DL_VALUE 7 2.
5.857 2 IMU_MAG_RAW -220 -546 139
5.860 2 IMU_GYRO_RAW 151 -440 -204
5.863 2 IMU_ACCEL_RAW -386 1959 4
5.903 2 IMU_MAG_RAW -220 -546 139
5.906 2 IMU_GYRO_RAW 91 -445 -219
5.909 2 IMU_ACCEL_RAW -431 2025 -51
5.953 2 IMU_MAG_RAW -220 -546 139
5.956 2 IMU_GYRO_RAW 54 -471 -237
5.959 2 IMU_ACCEL_RAW -487 2030 -27
6.003 2 IMU_MAG_RAW -220 -546 139
6.006 2 IMU_GYRO_RAW 37 -492 -210
6.009 2 IMU_ACCEL_RAW -501 1953 -48
6.053 2 IMU_MAG_RAW -220 -546 139
6.056 2 IMU_GYRO_RAW 50 -506 -184
6.059 2 IMU_ACCEL_RAW -518 1959 -32
6.103 2 IMU_MAG_RAW -220 -546 139
6.106 2 IMU_GYRO_RAW 63 -577 -176
6.109 2 IMU_ACCEL_RAW -493 2029 -28
6.159 2 ALIVE |215,59,16,148,212,187,92,254,242,168,16,68,167,171,91,170|
6.162 2 IMU_MAG_RAW -220 -546 139
6.165 2 IMU_GYRO_RAW 82 -551 -212
6.168 2 IMU_ACCEL_RAW -447 2042 30
6.203 2 IMU_MAG_RAW -220 -546 139
6.206 2 IMU_GYRO_RAW 46 -270 -200
6.209 2 IMU_ACCEL_RAW -375 2050 112
6.255 2 BARO_RAW 0. 0.
6.259 2 IMU_MAG_RAW -220 -546 139
6.262 2 IMU_GYRO_RAW 23 168 -173
6.265 2 IMU_ACCEL_RAW -412 2100 77
6.303 2 IMU_MAG_RAW -220 -546 139
6.306 2 IMU_GYRO_RAW 8 406 -124
6.310 2 IMU_ACCEL_RAW -438 2096 86
6.354 2 DL_VALUE 8 0.
6.357 2 IMU_MAG_RAW -220 -546 139
6.359 2 IMU_GYRO_RAW 29 425 -71
6.363 2 IMU_ACCEL_RAW -453 2053 64
6.402 2 IMU_MAG_RAW -220 -546 139
6.405 2 IMU_GYRO_RAW 31 444 -48
6.409 2 IMU_ACCEL_RAW -424 2005 43
6.452 2 IMU_MAG_RAW -220 -546 139
6.455 2 IMU_GYRO_RAW 30 557 -54
6.459 2 IMU_ACCEL_RAW -397 1979 21
6.502 2 IMU_MAG_RAW -220 -546 139
6.506 2 IMU_GYRO_RAW -14 844 -85
6.509 2 IMU_ACCEL_RAW -357 1882 52
6.552 2 IMU_MAG_RAW -220 -546 139
6.555 2 IMU_GYRO_RAW -73 1147 -83
6.558 2 IMU_ACCEL_RAW -391 1936 1
6.603 2 IMU_MAG_RAW -220 -546 139
6.606 2 IMU_GYRO_RAW -130 1270 -86
6.609 2 IMU_ACCEL_RAW -432 1997 -87
6.652 2 IMU_MAG_RAW -220 -546 139
6.656 2 IMU_GYRO_RAW -163 1134 -97
6.659 2 IMU_ACCEL_RAW -454 1995 -97
6.703 2 IMU_MAG_RAW -220 -546 139
6.706 2 IMU_GYRO_RAW -128 818 -92
6.709 2 IMU_ACCEL_RAW -472 2054 -132
6.755 2 BARO_RAW 0. 0.
6.758 2 IMU_MAG_RAW -220 -546 139
6.761 2 IMU_GYRO_RAW -96 505 -110
6.764 2 IMU_ACCEL_RAW -441 2127 -129
6.803 2 IMU_MAG_RAW -220 -546 139
6.806 2 IMU_GYRO_RAW -73 300 -64
6.809 2 IMU_ACCEL_RAW -393 2161 -122
6.814 2 SETTING 0 2 3.
6.819 2 DOWNLINK_STATUS 0 7 8091 458 0 1153. 65. 53.71
6.854 2 DL_VALUE 9 0.
6.857 2 IMU_MAG_RAW -220 -546 139
6.860 2 IMU_GYRO_RAW -74 341 -65
6.864 2 IMU_ACCEL_RAW -383 2128 -102
6.871 2 DL_VALUE 0 3.
6.903 2 IMU_MAG_RAW -220 -546 139
6.906 2 IMU_GYRO_RAW -79 417 -21
6.909 2 IMU_ACCEL_RAW -385 2145 -99
6.953 2 IMU_MAG_RAW -220 -546 139
6.956 2 IMU_GYRO_RAW -78 508 -30
6.959 2 IMU_ACCEL_RAW -411 2101 -127
7.003 2 IMU_MAG_RAW -220 -546 139
7.006 2 IMU_GYRO_RAW -29 613 -7
7.009 2 IMU_ACCEL_RAW -412 2035 -140
7.053 2 IMU_MAG_RAW -220 -546 139
7.056 2 IMU_GYRO_RAW 39 789 -38
7.059 2 IMU_ACCEL_RAW -453 1983 -198
7.077 2 FBW_STATUS 2 0 1 166 0
7.103 2 IMU_MAG_RAW -220 -546 139
7.106 2 IMU_GYRO_RAW 91 873 -51
7.109 2 IMU_ACCEL_RAW -485 1960 -268
7.153 2 IMU_MAG_RAW -220 -546 139
7.156 2 IMU_GYRO_RAW 133 780 -60
7.159 2 IMU_ACCEL_RAW -480 1893 -366
7.203 2 IMU_MAG_RAW -220 -546 139
7.206 2 IMU_GYRO_RAW 159 519 -52
7.209 2 IMU_ACCEL_RAW -489 1939 -445
7.255 2 BARO_RAW 0. 0.
7.258 2 IMU_MAG_RAW -220 -546 139
7.262 2 IMU_GYRO_RAW 152 193 -54
7.265 2 IMU_ACCEL_RAW -447 1931 -448
7.303 2 IMU_MAG_RAW -220 -546 139
7.306 2 IMU_GYRO_RAW 145 -52 -58
7.309 2 IMU_ACCEL_RAW -435 1896 -410
7.354 2 DL_VALUE 10 0.
7.357 2 IMU_MAG_RAW -220 -546 139
7.360 2 IMU_GYRO_RAW 117 -54 -70
7.364 2 IMU_ACCEL_RAW -401 1916 -399
7.403 2 IMU_MAG_RAW -220 -546 139
7.406 2 IMU_GYRO_RAW 53 36 -41
7.409 2 IMU_ACCEL_RAW -413 1978 -410
7.453 2 IMU_MAG_RAW -220 -546 139
7.456 2 IMU_GYRO_RAW 9 148 0
7.459 2 IMU_ACCEL_RAW -442 2008 -443
7.503 2 IMU_MAG_RAW -220 -546 139
7.506 2 IMU_GYRO_RAW -6 130 59
7.509 2 IMU_ACCEL_RAW -523 2011 -450
7.553 2 IMU_MAG_RAW -220 -546 139
7.556 2 IMU_GYRO_RAW -26 -110 93
7.560 2 IMU_ACCEL_RAW -580 2090 -449
7.603 2 IMU_MAG_RAW -220 -546 139
7.606 2 IMU_GYRO_RAW -21 -384 115
7.610 2 IMU_ACCEL_RAW -534 2027 -418
7.652 2 IMU_MAG_RAW -220 -546 139
7.655 2 IMU_GYRO_RAW -43 -455 148
7.658 2 IMU_ACCEL_RAW -449 1954 -368
7.702 2 IMU_MAG_RAW -220 -546 139
7.705 2 IMU_GYRO_RAW -76 -476 230
7.709 2 IMU_ACCEL_RAW -446 1998 -382
7.755 2 BARO_RAW 0. 0.
7.757 2 IMU_MAG_RAW -220 -546 139
7.760 2 IMU_GYRO_RAW -127 -552 248
7.764 2 IMU_ACCEL_RAW -386 2025 -367
7.802 2 IMU_MAG_RAW -220 -546 139
7.805 2 IMU_GYRO_RAW -184 -345 270
7.808 2 IMU_ACCEL_RAW -211 2017 -316
7.820 2 DOWNLINK_STATUS 0 8 9247 524 0 1156. 66. 53.71
7.853 2 DL_VALUE 11 0.
7.857 2 IMU_MAG_RAW -220 -546 139
7.860 2 IMU_GYRO_RAW -219 17 208
7.863 2 IMU_ACCEL_RAW -186 2020 -303
7.902 2 IMU_MAG_RAW -220 -546 139
7.906 2 IMU_GYRO_RAW -218 178 179
7.909 2 IMU_ACCEL_RAW -92 2108 -362
7.952 2 IMU_MAG_RAW -220 -546 139
7.955 2 IMU_GYRO_RAW -227 218 122
7.959 2 IMU_ACCEL_RAW -31 2064 -323
8.002 2 IMU_MAG_RAW -220 -546 139
8.006 2 IMU_GYRO_RAW -209 167 145
8.009 2 IMU_ACCEL_RAW 105 2093 -301
8.052 2 IMU_MAG_RAW -220 -546 139
8.055 2 IMU_GYRO_RAW -186 215 105
8.058 2 IMU_ACCEL_RAW 137 1991 -247
8.103 2 IMU_MAG_RAW -220 -546 139
8.106 2 IMU_GYRO_RAW -166 318 97
8.109 2 IMU_ACCEL_RAW 138 2024 -204
8.153 2 IMU_MAG_RAW -220 -546 139
8.156 2 IMU_GYRO_RAW -197 405 84
8.159 2 IMU_ACCEL_RAW 26 2041 -140
8.203 2 IMU_MAG_RAW -220 -546 139
8.206 2 IMU_GYRO_RAW -200 266 63
8.209 2 IMU_ACCEL_RAW -24 2148 -93
8.261 2 ALIVE |215,59,16,148,212,187,92,254,242,168,16,68,167,171,91,170|
8.264 2 BARO_RAW 0. 0.
8.267 2 IMU_MAG_RAW -220 -546 139
8.270 2 IMU_GYRO_RAW -224 91 2
8.273 2 IMU_ACCEL_RAW -132 2091 -35
8.303 2 IMU_MAG_RAW -220 -546 139
8.306 2 IMU_GYRO_RAW -216 -100 -17
8.309 2 IMU_ACCEL_RAW -115 2108 42
8.354 2 DL_VALUE 12 12000.
8.357 2 IMU_MAG_RAW -220 -546 139
8.360 2 IMU_GYRO_RAW -205 -173 -64
8.363 2 IMU_ACCEL_RAW -110 2121 106
8.403 2 IMU_MAG_RAW -220 -546 139
8.406 2 IMU_GYRO_RAW -179 -31 -78
8.409 2 IMU_ACCEL_RAW -74 2105 138
8.453 2 IMU_MAG_RAW -220 -546 139
8.456 2 IMU_GYRO_RAW -158 19 -99
8.459 2 IMU_ACCEL_RAW -158 2067 153
8.503 2 IMU_MAG_RAW -220 -546 139
8.506 2 IMU_GYRO_RAW -85 -90 -107
8.509 2 IMU_ACCEL_RAW -209 2036 160
8.553 2 IMU_MAG_RAW -220 -546 139
8.556 2 IMU_GYRO_RAW -49 -194 -82
8.559 2 IMU_ACCEL_RAW -253 2041 165
8.603 2 IMU_MAG_RAW -220 -546 139
8.606 2 IMU_GYRO_RAW 5 -226 -69
8.609 2 IMU_ACCEL_RAW -254 2051 183
8.653 2 IMU_MAG_RAW -220 -546 139
8.656 2 IMU_GYRO_RAW 21 -159 -54
8.659 2 IMU_ACCEL_RAW -252 2003 210
8.703 2 IMU_MAG_RAW -220 -546 139
8.706 2 IMU_GYRO_RAW 62 22 -44
8.709 2 IMU_ACCEL_RAW -233 1990 188
8.755 2 BARO_RAW 0. 0.
8.758 2 IMU_MAG_RAW -220 -546 139
8.762 2 IMU_GYRO_RAW 64 254 -21
8.765 2 IMU_ACCEL_RAW -232 1969 157
8.803 2 IMU_MAG_RAW -220 -546 139
8.806 2 IMU_GYRO_RAW 123 456 -5
8.809 2 IMU_ACCEL_RAW -220 1973 102
8.820 2 DOWNLINK_STATUS 0 9 10400 589 0 1153. 65. 53.71
8.854 2 DL_VALUE 13 1.5
8.857 2 IMU_MAG_RAW -220 -546 139
8.860 2 IMU_GYRO_RAW 180 574 -21
8.864 2 IMU_ACCEL_RAW -178 2042 15
8.879 2 ACTUATORS |1000,1500,2000,1851,1851,1500|
8.903 2 IMU_MAG_RAW -220 -546 139
8.906 2 IMU_GYRO_RAW 243 611 -44
8.909 2 IMU_ACCEL_RAW -171 2166 -86
8.953 2 IMU_MAG_RAW -220 -546 139
8.956 2 IMU_GYRO_RAW 268 558 -86
8.959 2 IMU_ACCEL_RAW -148 2258 -153
8.979 2 COMMANDS |0,-9600,-9600,0,0,0|
9.002 2 IMU_MAG_RAW -220 -546 139
9.006 2 IMU_GYRO_RAW 298 525 -128
9.008 2 IMU_ACCEL_RAW -103 2224 -198
9.053 2 IMU_MAG_RAW -220 -546 139
9.055 2 IMU_GYRO_RAW 309 591 -160
9.059 2 IMU_ACCEL_RAW -40 2056 -235
9.077 2 FBW_STATUS 2 0 1 166 0
9.103 2 IMU_MAG_RAW -220 -546 139
9.105 2 IMU_GYRO_RAW 291 653 -153
9.109 2 IMU_ACCEL_RAW -34 2024 -321
9.152 2 IMU_MAG_RAW -220 -546 139
9.155 2 IMU_GYRO_RAW 255 599 -182
9.159 2 IMU_ACCEL_RAW -64 2030 -449
9.202 2 IMU_MAG_RAW -220 -546 139
9.205 2 IMU_GYRO_RAW 210 476 -214
9.209 2 IMU_ACCEL_RAW -52 2001 -493
9.255 2 BARO_RAW 0. 0.
9.258 2 IMU_MAG_RAW -220 -546 139
9.261 2 IMU_GYRO_RAW 139 401 -269
9.264 2 IMU_ACCEL_RAW -30 1945 -532
9.302 2 IMU_MAG_RAW -220 -546 139
9.306 2 IMU_GYRO_RAW 53 380 -322
9.309 2 IMU_ACCEL_RAW -58 1920 -587
9.354 2 DL_VALUE 14 0.610865
9.357 2 IMU_MAG_RAW -220 -546 139
9.360 2 IMU_GYRO_RAW -42 344 -365
9.363 2 IMU_ACCEL_RAW -152 1985 -638
9.402 2 IMU_MAG_RAW -220 -546 139
9.406 2 IMU_GYRO_RAW -160 336 -400
9.409 2 IMU_ACCEL_RAW -255 2014 -634
9.453 2 IMU_MAG_RAW -220 -546 139
9.456 2 IMU_GYRO_RAW -281 402 -389
9.459 2 IMU_ACCEL_RAW -348 1924 -585
9.503 2 IMU_MAG_RAW -220 -546 139
9.506 2 IMU_GYRO_RAW -357 319 -306
9.509 2 IMU_ACCEL_RAW -471 1933 -599
9.553 2 IMU_MAG_RAW -220 -546 139
9.556 2 IMU_GYRO_RAW -376 -89 -227
9.559 2 IMU_ACCEL_RAW -594 2015 -537
9.603 2 IMU_MAG_RAW -220 -546 139
9.607 2 IMU_GYRO_RAW -344 -549 -172
9.609 2 IMU_ACCEL_RAW -568 2029 -329
9.652 2 IMU_MAG_RAW -220 -546 139
9.655 2 IMU_GYRO_RAW -339 -508 -104
9.659 2 IMU_ACCEL_RAW -503 2056 -223
9.703 2 IMU_MAG_RAW -220 -546 139
9.706 2 IMU_GYRO_RAW -406 -268 -48
9.709 2 IMU_ACCEL_RAW -515 2066 -151
9.755 2 BARO_RAW 0. 0.
9.758 2 IMU_MAG_RAW -220 -546 139
9.761 2 IMU_GYRO_RAW -465 -115 -31
9.764 2 IMU_ACCEL_RAW -544 1964 -85
9.803 2 IMU_MAG_RAW -220 -546 139
9.806 2 IMU_GYRO_RAW -510 24 -17
9.809 2 IMU_ACCEL_RAW -495 1907 -52
9.820 2 DOWNLINK_STATUS 0 10 11583 656 0 1183. 67. 53.71
9.854 2 DL_VALUE 15 7500.
9.857 2 IMU_MAG_RAW -220 -546 139
9.860 2 IMU_GYRO_RAW -489 139 15
9.863 2 IMU_ACCEL_RAW -484 1870 30
9.903 2 IMU_MAG_RAW -220 -546 139
9.906 2 IMU_GYRO_RAW -415 247 15
9.909 2 IMU_ACCEL_RAW -433 1929 61
9.953 2 IMU_MAG_RAW -220 -546 139
9.956 2 IMU_GYRO_RAW -338 370 -25
9.959 2 IMU_ACCEL_RAW -413 1986 84
10.003 2 IMU_MAG_RAW -220 -546 139
10.006 2 IMU_GYRO_RAW -261 391 -64
10.009 2 IMU_ACCEL_RAW -430 2068 70
10.053 2 IMU_MAG_RAW -220 -546 139
10.056 2 IMU_GYRO_RAW -173 335 -106
10.059 2 IMU_ACCEL_RAW -446 2067 114
10.103 2 IMU_MAG_RAW -220 -546 139
10.106 2 IMU_GYRO_RAW -65 309 -127
10.109 2 IMU_ACCEL_RAW -424 2093 113
10.153 2 IMU_MAG_RAW -220 -546 139
10.156 2 IMU_GYRO_RAW -5 364 -163
10.159 2 IMU_ACCEL_RAW -403 2084 128
10.203 2 IMU_MAG_RAW -220 -546 139
10.206 2 IMU_GYRO_RAW 22 537 -192
10.209 2 IMU_ACCEL_RAW -374 2088 75
